lamp_num,gen,ranker,method,baseline,n15,ild_range15,delta15,p15,sig15,n25,ild_range25,delta25,p25,sig25
1,T5-Base,BM25,PL,0.6810344827586207,140,"[0.733,0.958]",-0.052463054187192104,0.2823851476786335,,232,"[0.733,0.967]",-0.07112068965517238,0.08835087897673376,
1,T5-Base,BM25,MMR,0.6810344827586207,174,"[0.735,0.961]",0.06609195402298851,0.1434593491200008,,293,"[0.735,0.970]",0.052753913145816234,0.18913096832000872,
1,T5-Base,Contr.,PL,0.6422413793103449,140,"[0.811,0.952]",0.02347290640394084,0.6299207815175508,,232,"[0.811,0.963]",-0.042241379310344884,0.3238783952873969,
1,T5-Base,Contr.,MMR,0.6422413793103449,176,"[0.849,0.961]",0.011167711598746077,0.8155504847012689,,291,"[0.849,0.969]",-0.006502547695224625,0.8780215535431032,
1,T5-Small,BM25,PL,0.45098039215686275,31,"[0.749,0.950]",-0.1574320050600886,0.15131009706391055,,51,"[0.749,0.962]",-0.1352941176470588,0.1623386970909442,
1,T5-Small,BM25,MMR,0.45098039215686275,39,"[0.902,0.953]",-0.1689291101055807,0.09936622796751571,,65,"[0.902,0.962]",-0.14328808446455504,0.11839257138452583,
1,T5-Small,Contr.,PL,0.43137254901960786,31,"[0.811,0.953]",-0.10879190385831755,0.3093817298995532,,51,"[0.811,0.962]",-0.0431372549019608,0.6540341965997996,
1,T5-Small,Contr.,MMR,0.43137254901960786,39,"[0.866,0.955]",-0.14932126696832582,0.14363007357333954,,64,"[0.866,0.964]",-0.040747549019607865,0.66280976519089,
4,T5-Base,BM25,PL,0.29079477818297667,497,"[0.464,0.960]",-0.0035005782803790297,0.8217419139587632,,827,"[0.464,0.969]",-0.011354183418276598,0.3962884987226801,
4,T5-Base,BM25,MMR,0.29079477818297667,622,"[0.464,0.955]",0.023894776944227425,0.1198638706793786,,1035,"[0.464,0.966]",0.003490140570328426,0.8011351218925133,
4,T5-Base,Contr.,PL,0.3395872501972337,497,"[0.502,0.964]",0.008932577137758024,0.5879198663963552,,827,"[0.502,0.972]",-0.0016387753196969168,0.9082087083444303,
4,T5-Base,Contr.,MMR,0.3395872501972337,621,"[0.520,0.964]",0.017038087064993324,0.2949933768120111,,1037,"[0.520,0.974]",0.02905829054315029,0.045558758191698946,*
4,T5-Small,BM25,PL,0.2968901898794616,500,"[0.467,0.965]",-0.011789509068341586,0.4542906415184641,,833,"[0.467,0.973]",-0.009590804437803857,0.4851061531633128,
4,T5-Small,BM25,MMR,0.2968901898794616,405,"[0.467,0.958]",0.026384838644616826,0.16168023051385957,,677,"[0.467,0.969]",0.00558166027685586,0.7225433540465008,
4,T5-Small,Contr.,PL,0.3260295864037321,500,"[0.512,0.968]",0.001805651344742254,0.9033672268876579,,833,"[0.512,0.977]",-0.003716103717147201,0.7771301116883222,
4,T5-Small,Contr.,MMR,0.3260295864037321,405,"[0.530,0.965]",0.029149629042327208,0.09635502726965679,,675,"[0.530,0.975]",0.02786326122754723,0.06616236972245415,
